TargetPath,URL,TotalBytes,StartTime,EndTime,MimeType
C:\Users\Ученик-15\Downloads\roblox-2619508-androeed.store-0-1712828395.apk,https://androeed.ru/download/files/338292.php,179430626,2024-04-12T10:11:39.985403+05:00,2024-04-12T10:12:07.658629+05:00,application/vnd.android.package-archive
C:\Users\Ученик-15\Downloads\Национальный праздник Наурыз ролик.mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,69086548,2024-03-11T12:17:26.418339+05:00,2024-03-11T12:17:34.881176+05:00,video/mp4
C:\Users\Ученик-15\Downloads\Национальный праздник Наурыз ролик (1).mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,69086548,2024-03-11T12:17:32.583811+05:00,2024-03-11T12:17:40.504907+05:00,video/mp4
C:\Users\Ученик-15\Downloads\Воздействие человека на природу.mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,53655321,2024-02-29T08:34:22.371382+05:00,2024-02-29T08:34:29.109387+05:00,video/mp4
C:\Users\Ученик-15\Downloads\Что за праздник Наурыз__Наурыз-праздник весны_Познавательный час.mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,45770676,2024-03-11T09:20:40.30686+05:00,2024-03-11T09:20:45.835318+05:00,video/mp4
C:\Users\Ученик-15\Downloads\КРАСИВОЕ ПОЗДРАВЛЕНИЕ С 8 МАРТА. ПОЗДРАВЛЕНИЕ ЖЕНЩИНАМ НА 8 МАРТА 2018. С МЕЖДУНАРОДНЫМ ЖЕНСКИМ ДНЕМ.mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,41222864,2024-03-07T10:26:48.976863+05:00,2024-03-07T10:26:54.494485+05:00,video/mp4
C:\Users\Ученик-15\Downloads\pexels-ventill-6178163 (1080p).mp4,https://www.pexels.com/ru-ru/search/videos/%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%B7%D0%B8%D0%BC%D0%B0/,40152159,2024-01-22T08:22:17.854212+05:00,2024-01-22T08:24:02.996587+05:00,video/mp4
C:\Users\Ученик-15\Downloads\pexels-fearless-dreams-5598973 (2160p).mp4,https://www.pexels.com/ru-ru/search/videos/%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE%20%D0%B7%D0%B8%D0%BC%D0%B0/,34022929,2024-01-22T08:35:08.09485+05:00,2024-01-22T08:36:00.615014+05:00,video/mp4
C:\Users\Ученик-15\Downloads\Разрушение экологической среды (1).mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,32996325,2024-02-26T11:18:32.578439+05:00,2024-02-26T11:18:32.961614+05:00,video/mp4
C:\Users\Ученик-15\Downloads\Разрушение экологической среды (2).mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,32996325,2024-02-26T11:19:47.355423+05:00,2024-02-26T11:19:47.704046+05:00,video/mp4
C:\Users\Ученик-15\Downloads\Разрушение экологической среды.mp4,https://ru.savefrom.net/1-%D0%B1%D1%8B%D1%81%D1%82%D1%80%D1%8B%D0%B9-%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1-%D1%81%D0%BA%D0%B0%D1%87%D0%B0%D1%82%D1%8C-%D1%81-youtube-165lr/,32996325,2024-02-26T11:16:43.057056+05:00,2024-02-26T11:16:50.226541+05:00,video/mp4
C:\Users\Ученик-15\Downloads\python-3.12.2.exe,https://www.updatestar.com/en/postdownload/python/5407929,25320328,2024-04-03T03:58:34.926451+05:00,2024-04-03T03:58:38.638397+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\dwagent.exe,https://www.dwservice.net/download/dwagent_x86.exe,13746912,2024-04-12T09:04:21.898933+05:00,2024-04-12T09:04:25.841513+05:00,application/x-msdownload
C:\Users\Ученик-15\Downloads\Yandex (1).exe,https://yandex.kz/project/browser/general/g/35?from=adwords_gdn&utm_source=google&utm_medium=gdn&utm_campaign=smart_gdn_kz&utm_content=695467540931&utm_term=pt%20token%20122%205%209906%20ru&campaignid=21150845699&adgroupid=160535432357&creative=695467540931&keyword=pt%20token%20122%205%209906%20ru&gad_source=5&gclid=EAIaIQobChMI6MKKn9e3iAMV6E4eAh0olCsuEAEYASAAEgIs8PD_BwE,12672944,2024-09-10T05:50:47.870192+05:00,2024-09-10T05:50:49.818817+05:00,application/x-msdownload
