Title,URL,VisitCount,LastVisitTime
7 класс СОР-1,https://docs.google.com/forms/d/e/1FAIpQLScCKFXQRthUizvfaifx7Y0mIl8QdYPpfZoJJtc0tp2hEPalVg/formResponse,55,2024-10-23T12:21:33.281443+05:00
Информатика Исабаева Д.Н. – OKULYK.KZ,https://okulyk.kz/informatika/521/,51,2024-09-10T05:27:48.703048+05:00
10 класс СОР-2,https://docs.google.com/forms/d/e/1FAIpQLSc6usaewo7jS_uzDdyDJoPIFbCD-foXq6NIGrAzhSmUF-JR3g/formResponse,45,2024-10-22T09:09:30.853005+05:00
СОР №1 - 8 класс 1 вариант,https://docs.google.com/forms/d/e/1FAIpQLScdmjs-3oj1i945qWK-wzoOyh307tdPhLnOkRyaylFy0GcTeg/formResponse,36,2024-10-23T07:55:05.138379+05:00
ЕНТ,https://testter.kz/ent/test?id=24917401,28,2024-10-11T05:58:20.858316+05:00
10 класс СОР-1,https://docs.google.com/forms/d/e/1FAIpQLScyDmDDLE1ogce73OSgvOTTIzsKZxRBnCEawvEAZWaYLpxpzw/formResponse,27,2024-09-24T07:45:34.942754+05:00
ЕНТ,https://testter.kz/ent/test?id=24917341,27,2024-10-11T05:47:42.11986+05:00
ChatGPT,https://chatgpt.com/,26,2024-11-07T06:23:28.751844+05:00
ЕНТ,https://testter.kz/ent/test?id=24917361,25,2024-10-11T05:51:50.198609+05:00
ЕНТ,https://testter.kz/ent/test?id=24917321,25,2024-10-11T05:47:48.16143+05:00
ЕНТ,https://testter.kz/ent/test?id=24917331,25,2024-10-11T05:47:44.566986+05:00
10 класс СОЧ-1 вар 3,https://docs.google.com/forms/d/e/1FAIpQLScvsiUvK9yHAhE8-c-84XZX5uSflNh2KPQn1iW2wYnTHuvlzA/formResponse,24,2024-10-22T08:50:02.120046+05:00
Уроки печати - Русская раскладка / Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/lessons/ru,22,2024-11-11T13:37:03.756273+05:00
ЕНТ,https://testter.kz/ent/test?id=24917362,17,2024-10-11T05:51:53.566336+05:00
ЕНТ,https://testter.kz/ent/test?id=24917402,17,2024-10-11T05:58:38.18571+05:00
ЕНТ,https://testter.kz/ent/test?id=24917363,15,2024-10-11T05:51:54.863109+05:00
ЕНТ,https://testter.kz/ent/test?id=24917364,14,2024-10-11T05:51:56.364283+05:00
ЕНТ,https://testter.kz/ent/test?id=24917370,14,2024-10-11T05:52:01.312475+05:00
ЕНТ,https://testter.kz/ent/test?id=24917369,13,2024-10-11T05:52:00.632251+05:00
ЕНТ,https://testter.kz/ent/test?id=24917343,13,2024-10-11T05:04:38.255333+05:00
ЕНТ,https://testter.kz/ent/test?id=24917342,13,2024-10-11T05:13:53.842915+05:00
ЕНТ,https://testter.kz/ent/test?id=24917371,13,2024-10-11T05:52:03.123268+05:00
Уроки печати: ук гш - Русская раскладка / Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/workout/lesson/5,12,2024-11-11T11:32:03.599242+05:00
ЕНТ,https://testter.kz/ent/test?id=24917345,12,2024-10-11T05:04:41.213585+05:00
ЕНТ,https://testter.kz/ent/test?id=24917368,12,2024-10-11T05:51:59.960643+05:00
Уроки печати: ва ол - Русская раскладка / Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/workout/lesson/1,12,2024-11-11T13:37:06.092817+05:00
Уроки печати: фы дж - Русская раскладка / Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/workout/lesson/2,12,2024-11-11T13:49:36.228792+05:00
ЕНТ,https://testter.kz/ent/test?id=24917403,12,2024-10-11T05:58:40.185138+05:00
ЕНТ,https://testter.kz/ent/test?id=24917344,12,2024-10-11T05:04:39.952407+05:00
ЕНТ,https://testter.kz/ent/test?id=24917367,12,2024-10-11T05:51:58.886477+05:00
ЕНТ,https://testter.kz/ent/test?id=24917365,12,2024-10-11T05:51:57.198253+05:00
10 класс СОЧ-1 вар 2,https://docs.google.com/forms/d/e/1FAIpQLSeEoyuzISc2Pv3tFKcUgIVtbY0wHQ2CZ8B7k0KJlvKRrsLPbg/formResponse,12,2024-10-22T07:59:54.430133+05:00
Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru,12,2024-11-11T13:37:00.495419+05:00
ЕНТ,https://testter.kz/ent/test?id=24917366,12,2024-10-11T05:51:57.884322+05:00
ЕНТ,https://testter.kz/ent/test?id=24917346,11,2024-10-11T05:04:43.236969+05:00
ЕНТ,https://testter.kz/ent/test?id=24917404,11,2024-10-11T05:58:52.551232+05:00
ЕНТ,https://testter.kz/ent/test?id=24917372,11,2024-10-11T05:52:04.186495+05:00
ЕНТ,https://testter.kz/ent/test?id=24917350,11,2024-10-11T05:04:54.698031+05:00
ЕНТ,https://testter.kz/ent/test?id=24917349,10,2024-10-11T05:04:52.866699+05:00
10 класс СОР-1,https://docs.google.com/forms/d/e/1FAIpQLScyDmDDLE1ogce73OSgvOTTIzsKZxRBnCEawvEAZWaYLpxpzw/viewform,10,2024-09-24T07:28:30.019207+05:00
ЕНТ,https://testter.kz/ent/test?id=24917373,10,2024-10-11T05:52:05.074062+05:00
ЕНТ,https://testter.kz/ent/test?id=24917351,10,2024-10-11T05:04:55.850604+05:00
ЕНТ,https://testter.kz/ent/test?id=24917353,10,2024-10-11T05:04:59.484701+05:00
ЕНТ,https://testter.kz/ent/test?id=24917354,10,2024-10-11T05:05:01.343407+05:00
ЕНТ,https://testter.kz/ent/test?id=24917380,9,2024-10-11T05:52:11.590366+05:00
NetEmul download | SourceForge.net,https://sourceforge.net/projects/netemul/,9,2024-09-10T07:43:45.452127+05:00
ЕНТ,https://testter.kz/ent/test?id=24917347,9,2024-10-11T05:04:49.792192+05:00
ЕНТ,https://testter.kz/ent/test?id=24917348,9,2024-10-11T05:04:51.757307+05:00
ЕНТ,https://testter.kz/ent/test?id=24917374,9,2024-10-11T05:52:05.846927+05:00
ЕНТ,https://testter.kz/ent/test?id=24917352,9,2024-10-11T05:04:57.585604+05:00
ЕНТ,https://testter.kz/ent/test?id=24917377,9,2024-10-11T05:52:08.292179+05:00
ЕНТ,https://testter.kz/ent/test?id=24917379,8,2024-10-11T05:52:10.461567+05:00
ЕНТ,https://testter.kz/ent/test?id=24917375,8,2024-10-11T05:52:06.665098+05:00
ЕНТ,https://testter.kz/ent/test?id=24917405,8,2024-10-11T05:58:58.115206+05:00
"Подготовка к ЕНТ (Пробный ЕНТ / ҰБТ тест 2024), ОЗП, МОДО, PISA, PIRLS, ICILS, Эссе и др. онлайн тесты с ответами для подготовки к тестированию по Истории / Математике / Географии / Физики / Химии / Русскому и Казахскому языкам / Литературе / Информатике и Биологии-Testter.kz",https://testter.kz/,8,2024-10-11T08:50:49.321612+05:00
ЕНТ,https://testter.kz/ent/test?id=24917406,8,2024-10-11T05:59:15.018778+05:00
ЕНТ,https://testter.kz/ent/test?id=24917324,8,2024-10-11T04:16:18.887353+05:00
Google,https://www.google.com/,8,2024-09-19T04:08:22.65061+05:00
Find out more about NetEmul | SourceForge.net,https://sourceforge.net/projects/netemul/postdownload,8,2024-09-10T07:43:29.630712+05:00
ЕНТ,https://testter.kz/ent/test?id=24917323,8,2024-10-11T04:15:54.880417+05:00
ЕНТ,https://testter.kz/ent/test?id=24917376,8,2024-10-11T05:52:07.478616+05:00
ЕНТ,https://testter.kz/ent/test?id=24917357,8,2024-10-11T05:05:06.453839+05:00
ЕНТ,https://testter.kz/ent/test?id=24917356,8,2024-10-11T05:05:05.119586+05:00
ЕНТ,https://testter.kz/ent/test?id=24917355,8,2024-10-11T05:05:03.526441+05:00
ЕНТ,https://testter.kz/ent/test?id=24917378,8,2024-10-11T05:52:09.574065+05:00
10 класс СОР-2,https://docs.google.com/forms/d/e/1FAIpQLSc6usaewo7jS_uzDdyDJoPIFbCD-foXq6NIGrAzhSmUF-JR3g/viewform?fbzx=2400636969765528246,7,2024-10-22T08:52:08.670533+05:00
ЕНТ,https://testter.kz/ent/test?id=24917322,7,2024-10-11T04:13:33.64088+05:00
ЕНТ,https://testter.kz/ent/test?id=24917410,7,2024-10-11T05:59:20.414204+05:00
ЕНТ,https://testter.kz/ent/test?id=24917409,7,2024-10-11T05:59:19.03698+05:00
ЕНТ,https://testter.kz/ent/test?id=24917408,7,2024-10-11T05:59:17.19528+05:00
ЕНТ,https://testter.kz/ent/test?id=24917359,7,2024-10-11T05:05:26.492691+05:00
ЕНТ,https://testter.kz/ent/test?id=24917407,7,2024-10-11T05:59:16.328013+05:00
ЕНТ,https://testter.kz/ent/test?id=24917360,7,2024-10-11T05:05:27.99263+05:00
ЕНТ,https://testter.kz/ent/test?id=24917381,6,2024-10-11T05:52:12.357789+05:00
Beyond Olympiads - подготовка к школьным олимпиадам в Казахстане,https://olympiads.bc-pf.org/,6,2024-11-13T11:21:50.723932+05:00
Мои тесты,https://testter.kz/aktiv/index,6,2024-10-11T06:14:43.031911+05:00
ЕНТ,https://testter.kz/ent/test?id=24917358,6,2024-10-11T05:05:09.36307+05:00
