Title,URL,VisitCount,LastVisitTime
Уроки печати - Русская раскладка / Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/lessons/ru,8,2024-11-11T06:27:18.580025+05:00
Яндекс — быстрый поиск в интернете,https://yandex.kz/?mrkz=967eb3fda474c3fddc6ebc82fa7400bc,6,2024-11-11T06:24:41.320229+05:00
Уроки печати: ва ол - Русская раскладка / Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/workout/lesson/1,5,2024-11-11T06:03:50.102719+05:00
Яндекс — быстрый поиск в интернете,https://go.microsoft.com/fwlink/?LinkId=2134209&clcid=0x43f,5,2024-11-11T06:24:36.017613+05:00
Яндекс — быстрый поиск в интернете,https://www.ya.ru/?clid=2411725,5,2024-11-11T06:24:36.017613+05:00
Яндекс — быстрый поиск в интернете,https://ya.ru/?clid=2411725,5,2024-11-11T06:24:36.017613+05:00
Яндекс — быстрый поиск в интернете,http://go.microsoft.com/fwlink/?LinkId=2134209&clcid=0x43f,5,2024-11-11T06:24:36.017613+05:00
Яндекс — быстрый поиск в интернете,https://yandex.kz/?clid=2411725&mrkz=967eb3fda474c3fddc6ebc82fa7400bc,4,2024-11-11T06:24:36.017613+05:00
Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru,4,2024-11-11T06:27:15.757142+05:00
,https://www.bing.com/ck/a?!&&p=41f7dd3a2c46e43b7a37f84c70d91bc711905d3a5e0042495b934ca629caa323JmltdHM9MTczMTE5NjgwMA&ptn=3&ver=2&hsh=4&fclid=19505c2c-1810-6b31-1d33-483a199b6ae2&psq=%d0%ba%d0%bb%d0%b0%d0%b2%d0%b8%d0%b0%d1%82%d1%83%d1%80%d0%bd%d1%8b%d0%b9+%d1%80%d0%b5%d0%b7%d0%b6%d0%b8%d0%bc&u=a1aHR0cHM6Ly9zdGFtaW5hLW9ubGluZS5jb20vcnU&ntb=1,4,2024-11-11T06:27:15.506961+05:00
Уроки печати: ми ть - Русская раскладка / Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/workout/lesson/3,3,2024-11-11T06:22:19.283354+05:00
Что нового в Microsoft Edge,https://www.microsoft.com/ru-ru/edge/update/130?ep=0&es=149&form=MT00R2&channel=stable&version=130.0.2849.80,3,2024-11-11T03:48:32.405869+05:00
Microsoft Edge | Что нового,https://www.microsoft.com/ru-ru/edge/update/128?form=MT00Q1&channel=stable&version=128.0.2739.63,3,2024-09-05T07:06:39.416794+05:00
клавиатура тренажер — Яндекс: нашлось 67 тыс. результатов,https://yandex.kz/search/?text=%D0%BA%D0%BB%D0%B0%D0%B2%D0%B8%D0%B0%D1%82%D1%83%D1%80%D0%B0+%D1%82%D1%80%D0%B5%D0%BD%D0%B0%D0%B6%D0%B5%D1%80&lr=162&clid=2411725&msid=1731296929653452-5724014706904234695-balancer-l7leveler-kubr-yp-sas-93-BAL&family=yes&search_source=yakz_desktop_common&suggest_reqid=644285904170661152169295264562454&src=suggest_B,2,2024-11-11T03:49:02.352922+05:00
Microsoft Edge | Что нового,https://www.microsoft.com/edge/update?channel=stable&version=128.0.2739.63,2,2024-09-05T07:06:22.151449+05:00
клавиатурный резжим - Поиск,https://www.bing.com/search?q=%D0%BA%D0%BB%D0%B0%D0%B2%D0%B8%D0%B0%D1%82%D1%83%D1%80%D0%BD%D1%8B%D0%B9+%D1%80%D0%B5%D0%B7%D0%B6%D0%B8%D0%BC&cvid=b1d8373dea304ddabc17c4d33b8424b1&gs_lcrp=EgRlZGdlKgYIABBFGDkyBggAEEUYOdIBCTE4NzI4ajBqNKgCCLACAQ&FORM=ANAB01&PC=WSEDSE,2,2024-11-11T06:03:45.734946+05:00
7-zip - Поиск,https://www.bing.com/search?q=7-zip&form=WNSGPH&qs=AS&cvid=51e4ad54c7464e8b862e225a6d1f18cd&pq=7&cc=KZ&setlang=ru-RU&nclid=8E595532861B05E235A205E52146A5A9&ts=1727262993119&wsso=Moderate,2,2024-09-25T11:16:40.92398+05:00
Клавиатурный тренажер Stamina-online,https://stamina-online.com/ru/?ysclid=m3chi007ku621493567,2,2024-11-11T03:49:05.567939+05:00
служебные программы - Поиск,https://www.bing.com/search?q=%d1%81%d0%bb%d1%83%d0%b6%d0%b5%d0%b1%d0%bd%d1%8b%d0%b5+%d0%bf%d1%80%d0%be%d0%b3%d1%80%d0%b0%d0%bc%d0%bc%d1%8b&form=WNSGPH&qs=LT&cvid=9ae377d0ee5747cead58927af724ab1e&pq=%D1%81%D0%BB%D1%83%D0%B6%D0%B5%D0%B1%D0%BD%D1%8B%D0%B5&cc=KZ&setlang=ru-RU&nclid=8E595532861B05E235A205E52146A5A9&ts=1725520017919&wsso=Moderate,2,2024-09-05T07:07:00.870784+05:00
шахматы - Поиск,https://www.bing.com/search?q=%D1%88%D0%B0%D1%85%D0%BC%D0%B0%D1%82%D1%8B&filters=ufn%3a%22%D0%A8%D0%B0%D1%85%D0%BC%D0%B0%D1%82%D1%8B%22+sid%3a%229ecfb16e-9c43-5495-dac9-2ec3f6ce8f9d%22&asbe=LT&form=WNSGPH&qs=MB&cvid=0ffdad014dde4086a1150a4a30eb3a47&pq=%D1%88%D0%B0&cc=KZ&setlang=ru-RU&nclid=8E595532861B05E235A205E52146A5A9&ts=1727704853712&wsso=Moderate,2,2024-09-30T14:01:02.327688+05:00
клавиатурный резжим - Поиск,https://www.bing.com/search?q=%D0%BA%D0%BB%D0%B0%D0%B2%D0%B8%D0%B0%D1%82%D1%83%D1%80%D0%BD%D1%8B%D0%B9+%D1%80%D0%B5%D0%B7%D0%B6%D0%B8%D0%BC&gs_lcrp=EgRlZGdlKgcIABBFGMIDMgcIABBFGMIDMgcIARBFGMIDMgcIAhBFGMIDMgcIAxBFGMIDMgcIBBBFGMIDMgcIBRBFGMIDMgcIBhBFGMIDMgcIBxBFGMID0gEKMzAxNzgxajBqNKgCCLACAQ&FORM=ANAB01&PC=WSEDSE,2,2024-11-11T06:24:48.058889+05:00
